sep=,
"Time","Kalman Humi1"
2021-11-22 02:03:00,63.8 %H
2021-11-22 02:06:00,64 %H
2021-11-22 02:09:00,64 %H
2021-11-22 02:12:00,63.9 %H
2021-11-22 02:15:00,63.6 %H
2021-11-22 02:18:00,63.5 %H
2021-11-22 02:21:00,63.4 %H
2021-11-22 02:24:00,63.4 %H
2021-11-22 02:27:00,63.6 %H
2021-11-22 02:30:00,63.7 %H
2021-11-22 02:33:00,63.8 %H
2021-11-22 02:36:00,63.9 %H
2021-11-22 02:39:00,64.0 %H
2021-11-22 02:42:00,64.1 %H
2021-11-22 02:45:00,64.1 %H
2021-11-22 02:48:00,64.2 %H
2021-11-22 02:51:00,64.2 %H
2021-11-22 02:54:00,64.2 %H
2021-11-22 02:57:00,64.2 %H
2021-11-22 03:00:00,64.2 %H
2021-11-22 03:03:00,64.1 %H
2021-11-22 03:06:00,64.1 %H
2021-11-22 03:09:00,64.1 %H
2021-11-22 03:12:00,64.1 %H
2021-11-22 03:15:00,64.1 %H
2021-11-22 03:18:00,64.1 %H
2021-11-22 03:21:00,64.1 %H
2021-11-22 03:24:00,64.1 %H
2021-11-22 03:27:00,64.1 %H
2021-11-22 03:30:00,64.1 %H
2021-11-22 03:33:00,64.0 %H
2021-11-22 03:36:00,64.0 %H
2021-11-22 03:39:00,64.0 %H
2021-11-22 03:42:00,63.9 %H
2021-11-22 03:45:00,63.9 %H
2021-11-22 03:48:00,63.9 %H
2021-11-22 03:51:00,63.9 %H
2021-11-22 03:54:00,63.8 %H
2021-11-22 03:57:00,63.8 %H
2021-11-22 04:00:00,63.8 %H
2021-11-22 04:03:00,63.8 %H
2021-11-22 04:06:00,63.8 %H
2021-11-22 04:09:00,63.7 %H
2021-11-22 04:12:00,63.7 %H
2021-11-22 04:15:00,63.7 %H
2021-11-22 04:18:00,63.7 %H
2021-11-22 04:21:00,63.6 %H
2021-11-22 04:24:00,63.6 %H
2021-11-22 04:27:00,63.6 %H
2021-11-22 04:30:00,63.6 %H
2021-11-22 04:33:00,63.6 %H
2021-11-22 04:36:00,63.6 %H
2021-11-22 04:39:00,63.5 %H
2021-11-22 04:42:00,63.5 %H
2021-11-22 04:45:00,63.5 %H
2021-11-22 04:48:00,63.4 %H
2021-11-22 04:51:00,63.4 %H
2021-11-22 04:54:00,63.4 %H
2021-11-22 04:57:00,63.4 %H
2021-11-22 05:00:00,63.3 %H
2021-11-22 05:03:00,63.3 %H
2021-11-22 05:06:00,63.3 %H
2021-11-22 05:09:00,63.3 %H
2021-11-22 05:12:00,63.3 %H
2021-11-22 05:15:00,63.2 %H
2021-11-22 05:18:00,63.2 %H
2021-11-22 05:21:00,63.2 %H
2021-11-22 05:24:00,63.2 %H
2021-11-22 05:27:00,63.2 %H
2021-11-22 05:30:00,63.2 %H
2021-11-22 05:33:00,63.1 %H
2021-11-22 05:36:00,63.1 %H
2021-11-22 05:39:00,63.1 %H
2021-11-22 05:42:00,63.1 %H
2021-11-22 05:45:00,63.1 %H
2021-11-22 05:48:00,63.1 %H
2021-11-22 05:51:00,63.0 %H
2021-11-22 05:54:00,63.0 %H
2021-11-22 05:57:00,63.0 %H
2021-11-22 06:00:00,63.0 %H
2021-11-22 06:03:00,63.0 %H
2021-11-22 06:06:00,63.0 %H
2021-11-22 06:09:00,63.0 %H
2021-11-22 06:12:00,63.0 %H
2021-11-22 06:15:00,62.9 %H
2021-11-22 06:18:00,62.9 %H
2021-11-22 06:21:00,62.9 %H
2021-11-22 06:24:00,62.9 %H
2021-11-22 06:27:00,62.9 %H
2021-11-22 06:30:00,62.9 %H
2021-11-22 06:33:00,62.9 %H
2021-11-22 06:36:00,62.9 %H
2021-11-22 06:39:00,62.9 %H
2021-11-22 06:42:00,62.9 %H
2021-11-22 06:45:00,62.8 %H
2021-11-22 06:48:00,62.8 %H
2021-11-22 06:51:00,62.8 %H
2021-11-22 06:54:00,62.8 %H
2021-11-22 06:57:00,62.8 %H
2021-11-22 07:00:00,62.8 %H
2021-11-22 07:03:00,62.8 %H
2021-11-22 07:06:00,62.8 %H
2021-11-22 07:09:00,62.8 %H
2021-11-22 07:12:00,62.8 %H
2021-11-22 07:15:00,62.8 %H
2021-11-22 07:18:00,62.8 %H
2021-11-22 07:21:00,62.8 %H
2021-11-22 07:24:00,62.7 %H
2021-11-22 07:27:00,62.7 %H
2021-11-22 07:30:00,62.7 %H
2021-11-22 07:33:00,62.7 %H
2021-11-22 07:36:00,62.7 %H
2021-11-22 07:39:00,62.7 %H
2021-11-22 07:42:00,62.7 %H
2021-11-22 07:45:00,62.7 %H
2021-11-22 07:48:00,62.7 %H
2021-11-22 07:51:00,62.7 %H
2021-11-22 07:54:00,62.7 %H
2021-11-22 07:57:00,62.7 %H
2021-11-22 08:00:00,62.7 %H
2021-11-22 08:03:00,62.7 %H
2021-11-22 08:06:00,62.7 %H
2021-11-22 08:09:00,62.7 %H
2021-11-22 08:12:00,62.7 %H
2021-11-22 08:15:00,62.7 %H
2021-11-22 08:18:00,62.6 %H
2021-11-22 08:21:00,62.6 %H
2021-11-22 08:24:00,62.6 %H
2021-11-22 08:27:00,62.6 %H
2021-11-22 08:30:00,62.6 %H
2021-11-22 08:33:00,62.6 %H
2021-11-22 08:36:00,62.6 %H
2021-11-22 08:39:00,62.6 %H
2021-11-22 08:42:00,62.6 %H
2021-11-22 08:45:00,62.6 %H
